avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
3.3,93,10000,1.36133732402,5.23866267598,1.0,9.0
3.2,163,20000,1.7772568006,4.6227431994,1.0,7.0
90.6,186,30000,74.276202577,106.923797423,29.0,100.0
58.0,213,40000,30.3600968468,85.6399031532,6.0,100.0
42.1,241,50000,30.2469776283,53.9530223717,13.0,59.0
37.5,262,60000,15.9777807982,59.0222192018,8.0,100.0
6.6,280,70000,2.93372315884,10.2662768412,1.0,19.0
97.0,309,80000,90.2135285118,103.786471488,70.0,100.0
93.8,324,90000,79.774625591,107.825374409,38.0,100.0
50.3,338,100000,20.3724786356,80.2275213644,2.0,100.0
100.0,352,110000,100.0,100.0,100.0,100.0
87.9,372,120000,68.1373528656,107.662647134,17.0,100.0
95.9,389,130000,86.6251556328,105.174844367,59.0,100.0
98.3,406,140000,94.4543328233,102.145667177,83.0,100.0
96.7,422,150000,89.234881363,104.165118637,67.0,100.0
100.0,442,160000,100.0,100.0,100.0,100.0
94.1,450,170000,80.7532727398,107.44672726,41.0,100.0
100.0,465,180000,100.0,100.0,100.0,100.0
92.6,490,190000,75.8600369957,109.339963004,26.0,100.0
86.3,509,200000,63.7891681003,108.8108319,5.0,100.0
90.5,530,210000,69.009506954,111.990493046,5.0,100.0
100.0,543,220000,100.0,100.0,100.0,100.0
92.3,562,230000,74.8813898469,109.718610153,23.0,100.0
81.1,579,240000,56.1126334505,106.08736655,4.0,100.0
100.0,597,250000,100.0,100.0,100.0,100.0
