avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
4.8,194,20000,1.75004684419,7.84995315581,1.0,12.0
13.7,317,40000,7.91734730949,19.4826526905,2.0,22.0
38.2,420,60000,10.5419998278,65.8580001722,2.0,100.0
25.5,512,80000,16.9074415238,34.0925584762,9.0,45.0
53.4,603,100000,23.8334529959,82.9665470041,8.0,100.0
89.8,683,120000,70.2039207653,109.396079235,13.0,100.0
86.1,752,140000,72.4208578629,99.7791421371,45.0,100.0
77.5,819,160000,50.4816600273,104.518339973,1.0,100.0
93.2,877,180000,82.6767133068,103.723286693,59.0,100.0
76.4,939,200000,59.3570814869,93.4429185131,41.0,100.0
77.8,1011,220000,51.5360186929,104.063981307,6.0,100.0
10.7,1087,240000,3.74757155928,17.6524284407,0.0,32.0
4.2,1176,260000,2.62549238998,5.77450761002,1.0,7.0
89.5,1267,280000,78.9204004621,100.079599538,61.0,100.0
99.8,1346,300000,99.3475685675,100.252431433,98.0,100.0
89.0,1401,320000,72.071565884,105.928434116,35.0,100.0
11.4,1476,340000,1.76581875171,21.0341812483,0.0,45.0
74.7,1534,360000,44.7648799732,104.635120027,2.0,100.0
74.2,1617,380000,48.3396307261,100.060369274,9.0,100.0
94.5,1680,400000,82.0581356049,106.941864395,45.0,100.0
82.5,1754,420000,59.6527103861,105.347289614,5.0,100.0
93.2,1819,440000,79.4861936989,106.913806301,39.0,100.0
65.9,1872,460000,37.4842283561,94.3157716439,3.0,100.0
66.4,1947,480000,37.408279155,95.391720845,4.0,100.0
35.6,2038,500000,13.4709069194,57.7290930806,1.0,78.0
