avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
5.5,222,20000,1.38022320435,9.61977679565,1.0,19.0
2.4,371,40000,1.63101443229,3.16898556771,1.0,4.0
9.6,512,60000,0.747026756889,18.4529732431,1.0,41.0
11.1,632,80000,-1.66310238427,23.8631023843,2.0,60.0
42.1,747,100000,19.4321015871,64.7678984129,5.0,100.0
6.5,837,120000,2.83294780156,10.1670521984,1.0,13.0
75.6,952,140000,47.3311804046,103.868819595,10.0,100.0
6.6,1054,160000,0.343636837478,12.8563631625,1.0,29.0
8.9,1164,180000,1.57016085757,16.2298391424,2.0,28.0
8.6,1248,200000,2.4351893772,14.7648106228,2.0,31.0
28.0,1376,220000,15.3552811457,40.6447188543,4.0,55.0
3.0,1490,240000,1.31388760277,4.68611239723,1.0,9.0
33.2,1618,260000,5.80225594241,60.5977440576,2.0,100.0
47.4,1696,280000,22.6234403262,72.1765596738,5.0,100.0
49.5,1834,300000,17.4456773498,81.5543226502,1.0,100.0
59.7,1914,320000,28.9534272106,90.4465727894,10.0,100.0
50.1,2020,340000,22.0832243827,78.1167756173,1.0,100.0
35.0,2121,360000,16.1607590119,53.8392409881,3.0,81.0
36.8,2207,380000,14.4851448578,59.1148551422,1.0,100.0
8.7,2336,400000,4.3154593104,13.0845406896,1.0,21.0
8.0,2428,420000,3.43813885375,12.5618611463,1.0,20.0
5.2,2526,440000,1.88216949465,8.51783050535,0.0,13.0
17.2,2642,460000,7.84367130253,26.5563286975,1.0,40.0
7.2,2766,480000,2.54193330633,11.8580666937,3.0,25.0
43.2,2841,500000,15.7649253426,70.6350746574,4.0,100.0
