avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
1.7,273,20000,0.870542373662,2.52945762634,0.0,4.0
21.5,444,40000,5.30541926343,37.6945807366,1.0,69.0
7.3,592,60000,4.04707008839,10.5529299116,1.0,13.0
23.7,721,80000,4.01634380657,43.3836561934,1.0,89.0
77.4,844,100000,60.8891796587,93.9108203413,34.0,100.0
49.9,940,120000,30.7629585458,69.0370414542,11.0,100.0
24.9,1043,140000,10.6827626561,39.1172373439,2.0,54.0
55.6,1146,160000,30.6815633052,80.5184366948,5.0,100.0
37.9,1271,180000,17.0018628577,58.7981371423,4.0,97.0
28.9,1352,200000,11.7133942205,46.0866057795,1.0,86.0
55.0,1429,220000,28.4149743465,81.5850256535,1.0,100.0
27.5,1508,240000,10.6582774826,44.3417225174,2.0,70.0
71.9,1588,260000,51.6401123678,92.1598876322,22.0,100.0
69.1,1661,280000,39.722037691,98.477962309,2.0,100.0
31.0,1731,300000,6.62882152297,55.371178477,1.0,100.0
51.4,1794,320000,19.1953414912,83.6046585088,0.0,100.0
76.2,1873,340000,57.8444380335,94.5555619665,39.0,100.0
80.7,1939,360000,56.0042374809,105.395762519,9.0,100.0
35.3,2017,380000,21.9294369991,48.6705630009,4.0,65.0
67.6,2091,400000,40.1164713679,95.0835286321,6.0,100.0
90.8,2170,420000,69.9881541028,111.611845897,8.0,100.0
61.8,2255,440000,32.0444392557,91.5555607443,5.0,100.0
74.8,2337,460000,50.5931566181,99.0068433819,11.0,100.0
68.0,2418,480000,43.2491564494,92.7508435506,18.0,100.0
81.4,2493,500000,53.2986213102,109.50137869,2.0,100.0
