name,score
discretize_10_10,100.0
discretize_10_10,100.0
discretize_10_10,100.0
discretize_10_10,100.0
discretize_10_10,100.0
discretize_10_10,56.0
discretize_10_10,100.0
discretize_10_10,19.0
discretize_10_10,100.0
discretize_10_10,11.0
discretize_10_10,81.0
discretize_10_10,68.0
discretize_10_10,50.0
discretize_10_10,21.0
discretize_10_10,66.0
discretize_10_10,60.0
discretize_10_10,8.0
discretize_10_10,100.0
discretize_10_10,100.0
discretize_10_10,11.0
discretize_10_10,31.0
discretize_10_10,100.0
discretize_10_10,100.0
discretize_10_10,57.0
discretize_10_10,39.0
discretize_10_10,92.0
discretize_10_10,100.0
discretize_10_10,100.0
discretize_10_10,70.0
discretize_10_10,100.0
discretize_10_10,100.0
discretize_10_10,100.0
discretize_10_10,100.0
discretize_10_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,59.0
discretize_8_10,100.0
discretize_8_10,33.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,29.0
discretize_8_10,92.0
discretize_8_10,73.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,8.0
discretize_8_10,64.0
discretize_8_10,100.0
discretize_8_10,48.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,79.0
discretize_8_10,5.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,14.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,51.0
discretize_8_10,10.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,63.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,19.0
discretize_8_10,20.0
discretize_8_10,100.0
discretize_8_10,3.0
discretize_8_10,100.0
discretize_8_10,35.0
discretize_8_10,12.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,64.0
discretize_8_10,100.0
discretize_8_10,50.0
discretize_8_10,95.0
discretize_8_10,100.0
discretize_8_10,79.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,72.0
discretize_8_10,100.0
discretize_8_10,62.0
discretize_8_10,46.0
discretize_8_10,100.0
discretize_8_10,29.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,23.0
discretize_8_10,100.0
discretize_8_10,65.0
discretize_8_10,73.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,100.0
discretize_8_10,66.0
discretize_8_10,100.0
discretize_3_3,6.0
discretize_3_3,6.0
discretize_3_3,2.0
discretize_3_3,3.0
discretize_3_3,13.0
discretize_3_3,5.0
discretize_3_3,2.0
discretize_3_3,6.0
discretize_3_3,7.0
discretize_3_3,1.0
discretize_3_3,7.0
discretize_3_3,3.0
discretize_3_3,3.0
discretize_3_3,3.0
discretize_3_3,5.0
discretize_3_3,2.0
discretize_3_3,1.0
discretize_3_3,9.0
discretize_3_3,7.0
discretize_3_3,6.0
discretize_3_3,2.0
discretize_3_3,3.0
discretize_3_3,3.0
discretize_3_3,5.0
discretize_3_3,4.0
discretize_3_3,4.0
discretize_3_3,2.0
discretize_3_3,8.0
discretize_3_3,2.0
discretize_3_3,6.0
discretize_3_3,1.0
discretize_3_3,6.0
discretize_3_3,6.0
discretize_3_3,1.0
discretize_3_3,1.0
discretize_3_3,1.0
discretize_3_3,4.0
discretize_3_3,1.0
discretize_3_3,2.0
discretize_3_3,1.0
discretize_3_3,5.0
discretize_3_3,5.0
discretize_3_3,3.0
discretize_3_3,5.0
discretize_3_3,4.0
discretize_3_3,4.0
discretize_3_3,4.0
discretize_3_3,1.0
discretize_3_3,2.0
discretize_3_3,1.0
discretize_3_3,5.0
discretize_3_3,4.0
discretize_3_3,7.0
discretize_3_3,3.0
discretize_3_3,1.0
discretize_3_3,1.0
discretize_3_3,5.0
discretize_3_3,2.0
discretize_3_3,7.0
discretize_3_3,1.0
discretize_3_3,4.0
discretize_3_3,10.0
discretize_3_3,2.0
discretize_3_3,1.0
discretize_3_3,4.0
discretize_3_3,2.0
discretize_3_3,2.0
discretize_3_3,3.0
discretize_3_3,6.0
discretize_3_3,2.0
discretize_3_3,2.0
discretize_3_3,5.0
discretize_3_3,4.0
discretize_3_3,3.0
discretize_3_3,1.0
discretize_3_3,2.0
discretize_3_3,3.0
discretize_3_3,3.0
discretize_3_3,3.0
discretize_3_3,3.0
discretize_3_3,5.0
discretize_3_3,6.0
discretize_3_3,8.0
discretize_3_3,10.0
discretize_3_3,1.0
discretize_3_3,3.0
discretize_3_3,3.0
discretize_3_3,2.0
discretize_3_3,2.0
discretize_3_3,1.0
discretize_3_3,11.0
discretize_3_3,2.0
discretize_3_3,6.0
discretize_3_3,1.0
discretize_3_3,8.0
discretize_3_3,5.0
discretize_3_3,4.0
discretize_3_3,2.0
discretize_3_3,3.0
discretize_3_3,3.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,100.0
discretize_3_8,42.0
