name,frames
zero_to_hero,18000
1zero_to_hero,10000
1zero_to_hero,14000
1zero_to_hero,18000
1zero_to_hero,20000
1zero_to_hero,24000
1zero_to_hero,20000
1zero_to_hero_gamma1,10000
1zero_to_hero_gamma0.95,10000
1zero_to_hero_gamma1,30000
1zero_to_hero_gamma0.95,20000
1zero_to_hero_gamma0.9,40000
1zero_to_hero_gamma0.98,50000
1zero_to_hero_gamma1,40000
1zero_to_hero_gamma0.95,30000
1zero_to_hero_gamma0.98,60000
1zero_to_hero_gamma1,50000
1zero_to_hero_gamma0.95,50000
1zero_to_hero_gamma0.98,70000
1zero_to_hero_gamma1,60000
1zero_to_hero_gamma0.98,80000
1zero_to_hero_gamma0.9,90000
1zero_to_hero_lr,30000
1zero_to_hero_lr,40000
1zero_to_hero_lr,50000
1zero_to_hero_lr,70000
1zero_to_hero_lr,90000
1zero_to_hero_lr,110000
1zero_to_hero_lr,130000
1zero_to_hero_lr,140000
1zero_to_hero_lr,150000
1zero_to_hero_lr,160000
1zero_to_hero_lr,170000
1zero_to_hero_lr,180000
1zero_to_hero_lr,190000
1zero_to_hero_lr,200000
1zero_to_hero_lr,210000
1zero_to_hero_lr,220000
1zero_to_hero_lr,230000
1zero_to_hero_lr,240000
1zero_to_hero_lr,250000
1zero_to_hero_lr,260000
1zero_to_hero_lr,270000
1zero_to_hero_lr,280000
1zero_to_hero_lr,290000
1zero_to_hero_lr,75000
1zero_to_hero_lr,125000
1zero_to_hero_lr,175000
1zero_to_hero_lr,200000
1zero_to_hero_lr,225000
1zero_to_hero_lr,250000
1zero_to_hero_lr,300000
1zero_to_hero_lr,325000
1zero_to_hero_lr,350000
1zero_to_hero_lr,400000
1zero_to_hero_lr,425000
1zero_to_hero_e005,25000
1zero_to_hero_e005,50000
1zero_to_hero_e005,75000
1zero_to_hero_e005,100000
1zero_to_hero_e005,125000
1zero_to_hero_e005,150000
1zero_to_hero_e005,175000
1zero_to_hero_e005,200000
1zero_to_hero_e005,225000
1zero_to_hero_x,4000
1zero_to_hero_x,6000
1zero_to_hero_x,7000
1zero_to_hero_x,8000
1zero_to_hero_2,21000
1zero_to_hero_2,22000
1zero_to_hero_2,23000
1zero_to_hero_2,24000
1zero_to_hero_2,25000
1zero_to_hero_2,26000
1zero_to_hero_2,27000
1zero_to_hero_2,28000
1zero_to_hero_2,29000
1zero_to_hero_2,30000
1zero_to_hero_2,31000
1zero_to_hero_2,32000
2zero_to_hero_1,25000
2zero_to_hero_1,30000
2zero_to_hero_4,5000
2zero_to_hero_2,5000
2zero_to_hero_2,55000
2zero_to_hero_3,5000
2zero_to_hero_1,5000
2zero_to_hero_2,19000
2zero_to_hero_1,31000
2zero_to_hero_3,2000
2zero_to_hero_1,35000
2zero_to_hero_2,24000
2zero_to_hero_3,15000
2zero_to_hero_1,3000
2zero_to_hero_3,16000
2zero_to_hero_2,66000
2zero_to_hero_1,4000
2zero_to_hero_3,17000
2zero_to_hero_3,6000
2zero_to_hero_2,3000
2zero_to_hero_3,6000
2zero_to_hero_3,7000
2zero_to_hero_3,6000
2zero_to_hero_3,9000
2zero_to_hero_3,11000
2zero_to_hero_3,13000
2zero_to_hero_2,6000
2zero_to_hero_1,6000
2zero_to_hero_2,7000
2zero_to_hero_2,8000
2zero_to_hero_1,8000
2zero_to_hero_3,44000
2zero_to_hero_1,9000
2zero_to_hero_1,9000
2zero_to_hero_1,10000
2zero_to_hero_2,6000
2zero_to_hero_1,11000
2zero_to_hero_2,8000
2zero_to_hero_1,12000
2zero_to_hero_3,5000
2zero_to_hero_1,10000
2zero_to_hero_3,6000
2zero_to_hero_1,11000
3zero_to_hero_2,8000
2zero_to_hero_1,12000
3zero_to_hero_2,9000
2zero_to_hero_1,13000
3zero_to_hero_2,10000
3zero_to_hero_2,11000
2zero_to_hero_1,16000
3zero_to_hero_2,12000
2zero_to_hero_1,17000
2zero_to_hero_1,18000
2zero_to_hero_2,4000
2zero_to_hero_3,8000
2zero_to_hero_1,20000
2zero_to_hero_2,5000
2zero_to_hero_1,21000
2zero_to_hero_2,6000
2zero_to_hero_3,10000
2zero_to_hero_1,22000
2zero_to_hero_2,7000
2zero_to_hero_3,11000
2zero_to_hero_1,24000
2zero_to_hero_2,9000
2zero_to_hero_3,12000
2zero_to_hero_1,27000
2zero_to_hero_3,13000
2zero_to_hero_3,100000
2zero_to_hero_1,100000
2zero_to_hero_2,300000
2zero_to_hero_3,200000
2zero_to_hero_1,200000
2zero_to_hero_3,300000
2zero_to_hero_2,400000
2zero_to_hero_3,400000
2zero_to_hero_2,500000
2zero_to_hero_1,300000
2zero_to_hero_3,500000
2zero_to_hero_3,600000
2zero_to_hero_1,600000
2zero_to_hero_2,600000
2zero_to_hero_1,700000
2zero_to_hero_3,700000
2zero_to_hero_2,700000
2zero_to_hero_1,800000
2zero_to_hero_3,800000
2zero_to_hero_2,800000
2zero_to_hero_3,900000
2zero_to_hero_1,900000
2zero_to_hero_2,900000
2zero_to_hero_3,1000000
2zero_to_hero_1,1000000
2zero_to_hero_1,100000
2zero_to_hero_2,200000
2zero_to_hero_3,500000
2zero_to_hero_2,300000
2zero_to_hero_1,200000
4zero_to_hero_3,40000
4zero_to_hero_2,10000
4zero_to_hero_1,10000
4zero_to_hero_2,20000
4zero_to_hero_1,40000
4zero_to_hero_3,100000
4zero_to_hero_2,30000
4zero_to_hero_3,120000
4zero_to_hero_1,70000
4zero_to_hero_2,40000
4zero_to_hero_3,130000
4zero_to_hero_1,80000
4zero_to_hero_2,50000
4zero_to_hero_3,140000
4zero_to_hero_1,90000
5zero_to_hero_3,8000
5zero_to_hero_1,3000
5zero_to_hero_2,1000
5zero_to_hero_1,4000
5zero_to_hero_1,5000
5zero_to_hero_1,6000
5zero_to_hero_2,96000
5zero_to_hero_1,7000
5zero_to_hero_2,97000
5zero_to_hero_1,8000
5zero_to_hero_3,174000
5zero_to_hero_2,98000
5zero_to_hero_1,9000
5zero_to_hero_3,175000
5zero_to_hero_2,99000
5zero_to_hero_1,10000
5zero_to_hero_3,176000
5zero_to_hero_2,100000
5zero_to_hero_1,11000
5zero_to_hero_3,177000
5zero_to_hero_2,101000
5zero_to_hero_1,12000
5zero_to_hero_3,178000
5zero_to_hero_2,102000
5zero_to_hero_1,13000
5zero_to_hero_3,179000
5zero_to_hero_2,103000
5zero_to_hero_1,14000
5zero_to_hero_3,180000
5zero_to_hero_2,104000
5zero_to_hero_1,15000
5zero_to_hero_3,15000
5zero_to_hero_1,5000
5zero_to_hero_2,5000
5zero_to_hero_1,100000
5zero_to_hero_3,100000
5zero_to_hero_2,100000
5zero_to_hero_3,7000
5zero_to_hero_3,8000
5zero_to_hero_3,9000
5zero_to_hero_3,10000
5zero_to_hero_3,11000
5zero_to_hero_3,12000
5zero_to_hero_2,16000
5zero_to_hero_3,13000
5zero_to_hero_1,16000
5zero_to_hero_2,17000
5zero_to_hero_3,14000
5zero_to_hero_1,17000
5zero_to_hero_2,18000
5zero_to_hero_3,15000
5zero_to_hero_1,18000
5zero_to_hero_2,19000
5zero_to_hero_3,16000
5zero_to_hero_1,19000
5zero_to_hero_2,20000
5zero_to_hero_3,17000
5zero_to_hero_1,20000
5zero_to_hero_3,2000
5zero_to_hero_2,2000
5zero_to_hero_3,4000
5zero_to_hero_2,3000
5zero_to_hero_3,5000
5zero_to_hero_2,4000
5zero_to_hero_3,6000
5zero_to_hero_2,5000
5zero_to_hero_1,24000
5zero_to_hero_1,25000
5zero_to_hero_1,26000
5zero_to_hero_2,6000
5zero_to_hero_1,27000
5zero_to_hero_3,7000
5zero_to_hero_2,7000
5zero_to_hero_1,28000
5zero_to_hero_3,8000
5zero_to_hero_2,8000
5zero_to_hero_1,29000
5zero_to_hero_3,9000
5zero_to_hero_2,9000
5zero_to_hero_1,30000
5zero_to_hero_3,10000
5zero_to_hero_2,10000
5zero_to_hero_1,31000
5zero_to_hero_3,11000
5zero_to_hero_2,11000
5zero_to_hero_1,32000
5zero_to_hero_3,12000
5zero_to_hero_2,12000
5zero_to_hero_1,33000
5zero_to_hero_3,13000
5zero_to_hero_2,13000
5zero_to_hero_1,34000
5zero_to_hero_3,14000
5zero_to_hero_2,14000
5zero_to_hero_1,35000
5zero_to_hero_3,15000
5zero_to_hero_2,15000
5zero_to_hero_1,36000
5zero_to_hero_3,16000
5zero_to_hero_2,16000
5zero_to_hero_1,37000
5zero_to_hero_3,17000
5zero_to_hero_2,17000
5zero_to_hero_1,38000
5zero_to_hero_3,18000
5zero_to_hero_2,18000
5zero_to_hero_3,19000
5zero_to_hero_1,39000
5zero_to_hero_2,19000
5zero_to_hero_3,20000
5zero_to_hero_1,40000
5zero_to_hero_2,20000
5zero_to_hero_3,21000
5zero_to_hero_1,41000
5zero_to_hero_2,21000
5zero_to_hero_3,22000
5zero_to_hero_1,42000
5zero_to_hero_2,22000
5zero_to_hero_3,23000
5zero_to_hero_1,43000
5zero_to_hero_2,23000
5zero_to_hero_3,24000
5zero_to_hero_1,44000
5zero_to_hero_2,24000
5zero_to_hero_3,25000
5zero_to_hero_1,45000
5zero_to_hero_2,25000
5zero_to_hero_3,26000
5zero_to_hero_1,46000
5zero_to_hero_2,26000
5zero_to_hero_3,27000
5zero_to_hero_1,47000
5zero_to_hero_2,27000
5zero_to_hero_3,28000
5zero_to_hero_1,48000
5zero_to_hero_2,28000
5zero_to_hero_3,29000
5zero_to_hero_1,49000
5zero_to_hero_2,29000
5zero_to_hero_3,30000
5zero_to_hero_1,50000
5zero_to_hero_2,30000
5zero_to_hero_3,31000
5zero_to_hero_1,51000
5zero_to_hero_2,31000
5zero_to_hero_3,32000
5zero_to_hero_1,52000
5zero_to_hero_2,32000
5zero_to_hero_3,33000
5zero_to_hero_1,53000
5zero_to_hero_2,33000
5zero_to_hero_3,34000
5zero_to_hero_1,54000
5zero_to_hero_2,34000
5zero_to_hero_3,35000
5zero_to_hero_1,55000
5zero_to_hero_2,35000
5zero_to_hero_3,36000
5zero_to_hero_1,56000
5zero_to_hero_2,36000
5zero_to_hero_3,37000
5zero_to_hero_1,57000
5zero_to_hero_2,37000
5zero_to_hero_3,38000
5zero_to_hero_1,58000
5zero_to_hero_2,38000
5zero_to_hero_3,39000
5zero_to_hero_1,59000
5zero_to_hero_2,39000
5zero_to_hero_3,40000
5zero_to_hero_1,60000
5zero_to_hero_2,40000
5zero_to_hero_3,41000
5zero_to_hero_1,61000
5zero_to_hero_2,41000
5zero_to_hero_3,42000
5zero_to_hero_1,62000
5zero_to_hero_2,42000
5zero_to_hero_3,43000
5zero_to_hero_1,63000
5zero_to_hero_2,43000
5zero_to_hero_3,44000
5zero_to_hero_1,64000
5zero_to_hero_2,44000
5zero_to_hero_3,45000
5zero_to_hero_1,65000
5zero_to_hero_2,45000
5zero_to_hero_3,46000
5zero_to_hero_1,66000
5zero_to_hero_2,46000
5zero_to_hero_3,47000
5zero_to_hero_1,67000
5zero_to_hero_2,47000
5zero_to_hero_3,48000
5zero_to_hero_1,68000
5zero_to_hero_2,48000
5zero_to_hero_3,49000
5zero_to_hero_1,69000
5zero_to_hero_2,49000
5zero_to_hero_3,50000
5zero_to_hero_1,70000
5zero_to_hero_2,50000
5zero_to_hero_3,51000
5zero_to_hero_1,71000
5zero_to_hero_2,51000
5zero_to_hero_3,52000
5zero_to_hero_1,72000
5zero_to_hero_2,52000
5zero_to_hero_3,53000
5zero_to_hero_1,73000
5zero_to_hero_2,53000
5zero_to_hero_3,54000
5zero_to_hero_1,74000
5zero_to_hero_2,54000
5zero_to_hero_3,55000
5zero_to_hero_1,75000
5zero_to_hero_3,56000
5zero_to_hero_2,56000
5zero_to_hero_1,76000
5zero_to_hero_3,57000
5zero_to_hero_2,57000
5zero_to_hero_1,77000
5zero_to_hero_3,58000
5zero_to_hero_2,58000
5zero_to_hero_1,78000
5zero_to_hero_3,59000
5zero_to_hero_2,59000
5zero_to_hero_1,79000
5zero_to_hero_2,60000
5zero_to_hero_3,60000
5zero_to_hero_1,80000
5zero_to_hero_2,61000
5zero_to_hero_3,61000
5zero_to_hero_1,81000
5zero_to_hero_2,62000
5zero_to_hero_3,62000
5zero_to_hero_1,82000
5zero_to_hero_2,63000
5zero_to_hero_3,63000
5zero_to_hero_1,83000
5zero_to_hero_2,64000
5zero_to_hero_3,64000
5zero_to_hero_1,84000
5zero_to_hero_2,65000
5zero_to_hero_3,65000
5zero_to_hero_1,85000
