avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
2.0,96,10000,1.24594761242,2.75405238758,1.0,4.0
2.2,159,20000,1.19963646325,3.20036353675,1.0,5.0
1.7,219,30000,1.21717088808,2.18282911192,1.0,3.0
1000.0,272,40000,1000.0,1000.0,1000.0,1000.0
39.5,300,50000,2.91446915351,76.0855308465,1.0,155.0
33.2,321,60000,3.13836075144,63.2616392486,4.0,133.0
34.4,356,70000,18.4283231236,50.3716768764,2.0,65.0
35.6,391,80000,15.3717102029,55.8282897971,5.0,97.0
49.2,440,90000,17.2958305083,81.1041694917,2.0,118.0
1000.0,458,100000,1000.0,1000.0,1000.0,1000.0
26.1,469,110000,9.08629875109,43.1137012489,2.0,74.0
1000.0,509,120000,1000.0,1000.0,1000.0,1000.0
1000.0,545,130000,1000.0,1000.0,1000.0,1000.0
1000.0,565,140000,1000.0,1000.0,1000.0,1000.0
