avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
0.0,18,1000,0.0,0.0,0.0,0.0
0.8,30,2000,0.498379044968,1.10162095503,0.0,1.0
25.3,40,3000,14.2483081548,36.3516918452,7.0,50.0
26.5,48,4000,15.70229629,37.29770371,8.0,50.0
0.2,57,5000,-0.101620955032,0.501620955032,0.0,1.0
23.1,63,6000,8.89076357816,37.3092364218,5.0,50.0
15.6,64,7000,1.7401971195,29.4598028805,1.0,50.0
20.2,68,8000,10.4741856518,29.9258143482,7.0,46.0
32.4,70,9000,17.3446118588,47.4553881412,1.0,50.0
17.0,71,10000,4.10151567273,29.8984843273,2.0,50.0
14.9,73,11000,4.97940984081,24.8205901592,1.0,37.0
15.2,74,12000,3.77019737971,26.6298026203,1.0,50.0
14.1,76,13000,4.91757368519,23.2824263148,2.0,34.0
20.6,79,14000,7.86030778559,33.3396922144,2.0,50.0
25.0,81,15000,16.1676031316,33.8323968684,6.0,45.0
24.8,81,16000,13.0706672407,36.5293327593,4.0,50.0
16.2,85,17000,2.13414356255,30.2658564374,1.0,50.0
19.2,86,18000,5.79651995876,32.6034800412,2.0,50.0
17.9,88,19000,7.82020629553,27.9797937045,1.0,50.0
26.0,89,20000,13.0750933487,38.9249066513,6.0,50.0
20.0,90,21000,6.70641782666,33.2935821733,1.0,50.0
19.5,91,22000,12.3683225649,26.6316774351,11.0,41.0
12.6,93,23000,5.21798502384,19.9820149762,3.0,32.0
50.0,95,24000,50.0,50.0,50.0,50.0
50.0,95,25000,50.0,50.0,50.0,50.0
50.0,95,26000,50.0,50.0,50.0,50.0
50.0,95,27000,50.0,50.0,50.0,50.0
50.0,96,28000,50.0,50.0,50.0,50.0
50.0,96,29000,50.0,50.0,50.0,50.0
50.0,98,30000,50.0,50.0,50.0,50.0
50.0,99,31000,50.0,50.0,50.0,50.0
50.0,101,32000,50.0,50.0,50.0,50.0
50.0,102,33000,50.0,50.0,50.0,50.0
50.0,104,34000,50.0,50.0,50.0,50.0
50.0,106,35000,50.0,50.0,50.0,50.0
50.0,107,36000,50.0,50.0,50.0,50.0
50.0,109,37000,50.0,50.0,50.0,50.0
50.0,109,38000,50.0,50.0,50.0,50.0
50.0,109,39000,50.0,50.0,50.0,50.0
50.0,110,40000,50.0,50.0,50.0,50.0
50.0,110,41000,50.0,50.0,50.0,50.0
50.0,110,42000,50.0,50.0,50.0,50.0
50.0,111,43000,50.0,50.0,50.0,50.0
50.0,111,44000,50.0,50.0,50.0,50.0
50.0,111,45000,50.0,50.0,50.0,50.0
50.0,111,46000,50.0,50.0,50.0,50.0
50.0,114,47000,50.0,50.0,50.0,50.0
50.0,114,48000,50.0,50.0,50.0,50.0
50.0,117,49000,50.0,50.0,50.0,50.0
50.0,119,50000,50.0,50.0,50.0,50.0
50.0,119,51000,50.0,50.0,50.0,50.0
50.0,120,52000,50.0,50.0,50.0,50.0
50.0,121,53000,50.0,50.0,50.0,50.0
50.0,121,54000,50.0,50.0,50.0,50.0
50.0,123,55000,50.0,50.0,50.0,50.0
50.0,125,56000,50.0,50.0,50.0,50.0
50.0,125,57000,50.0,50.0,50.0,50.0
50.0,129,58000,50.0,50.0,50.0,50.0
50.0,130,59000,50.0,50.0,50.0,50.0
50.0,131,60000,50.0,50.0,50.0,50.0
50.0,131,61000,50.0,50.0,50.0,50.0
50.0,131,62000,50.0,50.0,50.0,50.0
50.0,131,63000,50.0,50.0,50.0,50.0
50.0,132,64000,50.0,50.0,50.0,50.0
50.0,133,65000,50.0,50.0,50.0,50.0
50.0,134,66000,50.0,50.0,50.0,50.0
50.0,135,67000,50.0,50.0,50.0,50.0
50.0,137,68000,50.0,50.0,50.0,50.0
50.0,139,69000,50.0,50.0,50.0,50.0
50.0,139,70000,50.0,50.0,50.0,50.0
50.0,141,71000,50.0,50.0,50.0,50.0
50.0,141,72000,50.0,50.0,50.0,50.0
50.0,141,73000,50.0,50.0,50.0,50.0
50.0,142,74000,50.0,50.0,50.0,50.0
50.0,144,75000,50.0,50.0,50.0,50.0
50.0,144,76000,50.0,50.0,50.0,50.0
50.0,146,77000,50.0,50.0,50.0,50.0
50.0,147,78000,50.0,50.0,50.0,50.0
50.0,149,79000,50.0,50.0,50.0,50.0
50.0,150,80000,50.0,50.0,50.0,50.0
50.0,151,81000,50.0,50.0,50.0,50.0
50.0,151,82000,50.0,50.0,50.0,50.0
50.0,152,83000,50.0,50.0,50.0,50.0
50.0,154,84000,50.0,50.0,50.0,50.0
50.0,156,85000,50.0,50.0,50.0,50.0
