avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
3.7,190,20000,0.79812267702,6.60187732298,1.0,14.0
8.4,281,40000,2.82612962335,13.9738703767,1.0,23.0
49.8,325,60000,18.0584247099,81.5415752901,2.0,100.0
63.7,378,80000,38.9536365416,88.4463634584,1.0,100.0
38.1,420,100000,22.2668748831,53.9331251169,2.0,80.0
76.8,479,120000,55.7275071785,97.8724928215,15.0,100.0
66.9,515,140000,38.7799113618,95.0200886382,3.0,100.0
35.7,570,160000,10.9329659543,60.4670340457,0.0,100.0
55.4,618,180000,27.6406287507,83.1593712493,4.0,100.0
27.1,686,200000,10.8241674238,43.3758325762,2.0,79.0
5.4,730,220000,2.26909312572,8.53090687428,1.0,14.0
74.5,790,240000,50.5946364181,98.4053635819,20.0,100.0
96.5,851,260000,88.5824499304,104.41755007,65.0,100.0
83.2,885,280000,59.5828673554,106.817132645,6.0,100.0
10.4,933,300000,4.90834460563,15.8916553944,1.0,27.0
74.4,981,320000,45.8032156104,102.99678439,2.0,100.0
33.5,1076,340000,12.174177312,54.825822688,3.0,84.0
84.4,1136,360000,59.8308486265,108.969151373,1.0,100.0
8.6,1200,380000,2.39840617119,14.8015938288,1.0,31.0
3.5,1264,400000,1.52645603747,5.47354396253,0.0,9.0
60.9,1312,420000,38.4665929606,83.3334070394,23.0,100.0
95.0,1368,440000,83.6892141863,106.310785814,50.0,100.0
94.1,1428,460000,80.7532727398,107.44672726,41.0,100.0
92.1,1498,480000,79.2127615647,104.987238435,44.0,100.0
76.3,1581,500000,51.4527438046,101.147256195,10.0,100.0
