avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
1000.0,70,10000,1000.0,1000.0,1000.0,1000.0
38.4,96,20000,19.7055828447,57.0944171553,1.0,70.0
18.9,138,30000,9.98781530717,27.8121846928,1.0,38.0
1000.0,172,40000,1000.0,1000.0,1000.0,1000.0
39.0,194,50000,8.63312040701,69.366879593,2.0,149.0
35.3,238,60000,16.6212532561,53.9787467439,1.0,88.0
1000.0,253,70000,1000.0,1000.0,1000.0,1000.0
1000.0,267,80000,1000.0,1000.0,1000.0,1000.0
1000.0,279,90000,1000.0,1000.0,1000.0,1000.0
