avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
3.8,237,20000,0.315005126448,7.28499487355,0.0,16.0
8.5,390,40000,2.49355737944,14.5064426206,1.0,25.0
9.6,512,60000,6.09223776895,13.1077622311,1.0,16.0
19.1,610,80000,5.52517202348,32.6748279765,1.0,55.0
41.4,712,100000,16.4086515904,66.3913484096,1.0,100.0
8.7,836,120000,5.39504765363,12.0049523464,2.0,14.0
21.0,937,140000,6.36672018271,35.6332798173,2.0,70.0
62.6,1027,160000,41.5994040967,83.6005959033,10.0,100.0
54.4,1142,180000,24.7911749683,84.0088250317,2.0,100.0
23.4,1241,200000,9.5895145676,37.2104854324,9.0,59.0
92.9,1323,220000,82.8938072117,102.906192788,65.0,100.0
53.0,1397,240000,29.0785867634,76.9214132366,5.0,100.0
82.2,1485,260000,58.4532153674,105.946784633,14.0,100.0
34.3,1570,280000,14.3837362893,54.2162637107,1.0,100.0
47.9,1666,300000,26.0703461721,69.7296538279,4.0,92.0
37.5,1753,320000,13.3250051902,61.6749948098,1.0,100.0
7.9,1864,340000,3.49734129649,12.3026587035,1.0,19.0
92.9,1953,360000,81.2550774019,104.544922598,48.0,100.0
75.9,2031,380000,50.283407579,101.516592421,0.0,100.0
35.0,2115,400000,14.9161434161,55.0838565839,4.0,100.0
71.8,2198,420000,44.7531593835,98.8468406165,14.0,100.0
39.9,2284,440000,14.0888187152,65.7111812848,1.0,100.0
93.1,2356,460000,77.4911155771,108.708884423,31.0,100.0
48.5,2423,480000,17.7364183961,79.2635816039,2.0,100.0
44.3,2497,500000,16.1403075756,72.4596924244,5.0,100.0
