avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
4.0,207,20000,1.66365412859,6.33634587141,1.0,12.0
13.0,327,40000,4.18693711362,21.8130628864,1.0,31.0
10.2,421,60000,4.2740884753,16.1259115247,1.0,24.0
29.8,505,80000,10.151761825,49.448238175,5.0,100.0
13.2,596,100000,7.71248768837,18.6875123116,4.0,28.0
64.7,688,120000,39.0643258199,90.3356741801,9.0,100.0
51.5,761,140000,26.2482502318,76.7517497682,7.0,100.0
78.9,831,160000,56.6574995482,101.142500452,20.0,100.0
87.3,873,180000,70.5537544048,104.046245595,32.0,100.0
73.4,909,200000,42.7568844255,104.043115574,10.0,100.0
93.4,990,220000,83.355524037,103.444475963,63.0,100.0
87.8,1015,240000,71.794183412,103.805816588,35.0,100.0
73.2,1041,260000,47.1971071989,99.2028928011,8.0,100.0
68.0,1091,280000,40.2307986546,95.7692013454,10.0,100.0
81.6,1148,300000,59.7085721683,103.491427832,21.0,100.0
100.0,1205,320000,100.0,100.0,100.0,100.0
80.4,1263,340000,58.2889003538,102.511099646,14.0,100.0
70.4,1342,360000,42.4202869166,98.3797130834,8.0,100.0
88.0,1382,380000,68.3107117144,107.689288286,17.0,100.0
82.0,1421,400000,67.7246909262,96.2753090738,48.0,100.0
67.3,1459,420000,41.1091867666,93.4908132334,8.0,100.0
4.2,1511,440000,2.21067317356,6.18932682644,1.0,8.0
10.9,1551,460000,5.54198154983,16.2580184502,1.0,25.0
82.9,1610,480000,64.6667388427,101.133261157,32.0,100.0
89.0,1654,500000,71.7257805477,106.274219452,25.0,100.0
