avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
4.2,196,20000,1.77293505787,6.62706494213,1.0,12.0
8.8,313,40000,1.73601405139,15.8639859486,1.0,31.0
28.4,380,60000,5.01659351394,51.7834064861,1.0,100.0
2.6,468,80000,1.57715357657,3.62284642343,1.0,5.0
23.7,561,100000,6.31079332862,41.0892066714,3.0,75.0
72.5,652,120000,43.1321037419,101.867896258,6.0,100.0
5.8,710,140000,2.98262777665,8.61737222335,0.0,11.0
83.5,780,160000,62.5616338453,104.438366155,20.0,100.0
82.8,839,180000,56.5967066558,109.003293344,3.0,100.0
