avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
5.6,100,10000,0.287274149778,10.9127258502,0.0,21.0
14.1,150,20000,1.75355782373,26.4464421763,1.0,58.0
17.4,195,30000,10.3650508829,24.4349491171,1.0,35.0
10.4,248,40000,3.95560871495,16.8443912851,2.0,26.0
10.5,269,50000,1.84809083651,19.1519091635,2.0,42.0
2.4,335,60000,1.4951371349,3.3048628651,1.0,5.0
6.0,389,70000,3.07956766073,8.92043233927,1.0,14.0
31.4,439,80000,12.9720950805,49.8279049195,0.0,72.0
12.7,462,90000,4.52244178693,20.8775582131,2.0,34.0
5.5,503,100000,2.63360892472,8.36639107528,0.0,10.0
9.3,542,110000,2.58046659318,16.0195334068,1.0,28.0
5.0,588,120000,1.73050675785,8.26949324215,1.0,13.0
5.9,651,130000,2.07806258128,9.72193741872,1.0,19.0
5.1,692,140000,2.07531925623,8.12468074377,0.0,15.0
9.3,756,150000,-0.543488939292,19.1434889393,1.0,47.0
16.5,798,160000,4.62876284682,28.3712371532,1.0,58.0
12.0,836,170000,2.27301647297,21.726983527,1.0,39.0
8.9,899,180000,3.38509775952,14.4149022405,1.0,26.0
9.0,933,190000,3.26721784943,14.7327821506,1.0,22.0
33.4,982,200000,7.16547816917,59.6345218308,2.0,100.0
37.0,1023,210000,12.4081792984,61.5918207016,4.0,100.0
18.5,1065,220000,6.95905638593,30.0409436141,1.0,49.0
63.9,1101,230000,31.1851610335,96.6148389665,3.0,100.0
67.6,1132,240000,40.7654801446,94.4345198554,12.0,100.0
87.7,1163,250000,68.1293260178,107.270673982,20.0,100.0
91.8,1185,260000,77.3316228835,106.268377116,35.0,100.0
77.2,1210,270000,50.8711511053,103.528848895,18.0,100.0
67.4,1246,280000,41.8261712585,92.9738287415,15.0,100.0
73.6,1278,290000,47.6904263911,99.5095736089,10.0,100.0
64.4,1314,300000,37.1387378685,91.6612621315,13.0,100.0
4.5,1354,310000,2.70763793608,6.29236206392,2.0,10.0
9.6,1391,320000,4.57323543988,14.6267645601,1.0,19.0
11.1,1426,330000,4.55710172843,17.6428982716,3.0,27.0
94.2,1465,340000,84.5622782918,103.837721708,59.0,100.0
26.7,1499,350000,14.5503930605,38.8496069395,1.0,50.0
6.4,1556,360000,3.98703235974,8.81296764026,1.0,12.0
49.6,1596,370000,23.0509301521,76.1490698479,2.0,100.0
23.5,1624,380000,9.12051555447,37.8794844455,6.0,67.0
54.5,1653,390000,27.5913154011,81.4086845989,1.0,100.0
77.1,1684,400000,49.7777985189,104.422201481,4.0,100.0
8.0,1724,410000,0.302753782354,15.6972462176,1.0,34.0
6.6,1778,420000,4.071955729,9.128044271,2.0,14.0
61.3,1818,430000,30.9274100682,91.6725899318,2.0,100.0
4.3,1882,440000,1.47758684898,7.12241315102,0.0,13.0
3.3,1941,450000,1.11324807602,5.48675192398,1.0,11.0
8.2,2004,460000,3.87092489024,12.5290751098,1.0,20.0
90.9,2029,470000,70.3143698191,111.485630181,9.0,100.0
83.1,2059,480000,57.487847235,108.712152765,8.0,100.0
54.5,2099,490000,34.1064025954,74.8935974046,16.0,100.0
9.1,2144,500000,4.20794892858,13.9920510714,1.0,24.0
