avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
1.7,151,10000,1.11106625843,2.28893374157,1.0,3.0
2.5,269,20000,1.02044237612,3.97955762388,0.0,6.0
2.5,370,30000,1.42036128423,3.57963871577,0.0,5.0
2.0,465,40000,0.988332561665,3.01166743834,1.0,5.0
2.3,555,50000,1.40461239983,3.19538760017,1.0,4.0
1.9,646,60000,0.919731896146,2.88026810385,1.0,5.0
4.0,722,70000,1.49909115812,6.50090884188,1.0,11.0
6.2,783,80000,2.34325975931,10.0567402407,1.0,17.0
10.6,843,90000,4.81587258187,16.3841274181,2.0,30.0
7.9,903,100000,2.60603667292,13.1939633271,2.0,27.0
9.8,954,110000,5.78436128478,13.8156387152,3.0,22.0
29.8,996,120000,7.00366061976,52.5963393802,2.0,100.0
29.5,1033,130000,9.27719218153,49.7228078185,3.0,98.0
17.1,1075,140000,6.29597907212,27.9040209279,2.0,50.0
14.2,1114,150000,8.18835310382,20.2116468962,5.0,28.0
33.1,1154,160000,12.6362629533,53.5637370467,3.0,100.0
13.9,1190,170000,5.74053991207,22.0594600879,1.0,38.0
19.5,1226,180000,9.18711023275,29.8128897673,1.0,43.0
75.0,1259,190000,50.500839088,99.499160912,4.0,100.0
89.0,1302,200000,75.7750303218,102.224969678,42.0,100.0
11.5,1339,210000,2.90744152376,20.0925584762,2.0,40.0
27.6,1384,220000,19.8865195186,35.3134804814,10.0,42.0
23.4,1421,230000,14.5856468621,32.2143531379,3.0,40.0
68.8,1460,240000,44.155519104,93.444480896,18.0,100.0
81.8,1492,250000,63.8643285874,99.7356714126,39.0,100.0
75.3,1529,260000,46.815078453,103.784921547,13.0,100.0
67.3,1561,270000,36.8395500329,97.7604499671,3.0,100.0
91.6,1606,280000,77.6461592061,105.553840794,40.0,100.0
20.2,1634,290000,10.5622782918,29.8377217082,5.0,39.0
73.9,1661,300000,54.757017118,93.042982882,41.0,100.0
27.5,1697,310000,7.57174919879,47.4282508012,8.0,98.0
26.0,1732,320000,10.2332712522,41.7667287478,1.0,72.0
27.4,1771,330000,13.8513760537,40.9486239463,1.0,59.0
12.0,1800,340000,-1.9530258045,25.9530258045,1.0,66.0
14.9,1843,350000,4.55848008488,25.2415199151,1.0,45.0
69.0,1877,360000,39.009942046,98.990057954,3.0,100.0
72.8,1900,370000,48.5509132435,97.0490867565,23.0,100.0
90.4,1936,380000,79.2451207759,101.554879224,63.0,100.0
89.5,1966,390000,81.7347247254,97.2652752746,73.0,100.0
88.0,1998,400000,70.4644310689,105.535568931,28.0,100.0
63.2,2027,410000,43.5952179718,82.8047820282,10.0,100.0
74.3,2061,420000,49.5950296013,99.0049703987,19.0,100.0
83.7,2094,430000,66.9435714265,100.456428573,33.0,100.0
62.6,2119,440000,36.9108173635,88.2891826365,17.0,100.0
66.6,2153,450000,40.705792702,92.494207298,1.0,100.0
86.8,2180,460000,66.3325122556,107.267487744,11.0,100.0
77.0,2209,470000,57.6868355232,96.3131644768,38.0,100.0
17.7,2240,480000,1.55183123618,33.8481687638,1.0,77.0
92.5,2267,490000,76.0303841489,108.969615851,27.0,100.0
76.2,2297,500000,48.7732166404,103.62678336,0.0,100.0
