avg_score,episode_count,frame_count,interval_lower,interval_upper,min,max
63.1,176,20000,33.3431972054,92.8568027946,2.0,100.0
32.9,273,40000,11.0573266002,54.7426733998,7.0,100.0
2.6,382,60000,-0.164401715239,5.36440171524,0.0,13.0
48.7,475,80000,22.4354774677,74.9645225323,4.0,100.0
75.5,569,100000,52.6253513315,98.3746486685,8.0,100.0
11.2,648,120000,4.53356276176,17.8664372382,2.0,33.0
67.9,722,140000,40.1913705339,95.6086294661,7.0,100.0
45.1,794,160000,17.7819609823,72.4180390177,4.0,100.0
49.9,904,180000,21.7314245827,78.0685754173,3.0,100.0
